"('September', '2017')",Real-time Accurate Runway Detection based on Airborne Multi-sensors Fusion,"Lei Zhang, Yue Cheng, Zhengjun Zhai","(6, 8)"
"('September', '2017')",A FPGA based Steganographic System Implementing a Modern Steganalysis Resistant LSB Algorithm,"Kunjan Pathak, Manu Bansal","(6, 9)"
"('September', '2017')",Critical Analysis of Background Subtraction Techniques on Real GPR Data,"Prabhat Sharma, Bambam Kumar, Dharmendra Singh, S. P. Gaba","(6, 10)"
"('September', '2017')","Modelling, Simulation and Mechatronics Design of a Wireless Automatic Fire Fighting Surveillance Robot","B. Madhevan, R. Sakkaravarthi, G. Mandeep Singh, R. Diya, Durgesh Kumar Jha","(6, 11)"
"('September', '2017')",Priority Scheduling Algorithm for Traffic in a LTE-based Defence Mesh Network Incorporating Centralised Scheduling Architecture,"Sidharth Shukla, Vimal Bhatia","(6, 12)"
"('September', '2017')",Detection of Nitro-aromatic Compound in Soil and Sand using Time Gated Raman Spectroscopy,"Kamal Kumar Gulati, Vijayeta Gambhir, M. N. Reddy","(6, 13)"
"('September', '2017')",Effect of Metallic Inserts on the Strength of Pin Joints Prepared from Glass Fiber Reinforced Composites,"Kulwinder Singh, J. S. Saini, H. Bhunia","(6, 14)"
"('July', '2017')",commemorative !,commemorative !,"(7, 0)"
"('July', '2017')",Design Configuration of a Generation Next Main Battle Tank for Future Combat,"A. Hafeezur Rahman, Ameer Shaik Malik, J. Rajesh Kumar, V. Balaguru, P. Sivakumar","(7, 1)"
"('July', '2017')",Configuration Study of Hybrid Electric Power Pack for Tracked Combat Vehicles,"P. Sivakumar, Rajaseeli Reginald, G. Venkatesan, Hari Viswanath, T. Selvathai","(7, 2)"
"('July', '2017')",Optimisation of Diesel Engine for Hybrid Military Tracked Vehicles using Matlab-Simulink,"Hari Viswanath, A. Kumaraswamy, P. Sivakumar","(7, 3)"
"('July', '2017')",Technologies for High Power Density Diesel Engines,"N. S. Prasad, N. Ganesh, A. Kumarasamy","(7, 4)"
"('July', '2017')",Simulation of a Diesel Engine with Variable Geometry Turbocharger and Parametric Study of Variable Vane Position on Engine Performance,"Anand Mammen Thomas, Jensen Samuel J., Paul Pramod M., A. Ramesh, R. Murugesan, A. Kumarasamy","(7, 5)"
"('July', '2017')",Development and Demonstration of Control Strategies for a Common Rail Direct Injection Armoured Fighting Vehicle Engine,"Jensen Samuel J., Paul Pramod M., A. Ramesh, Anand Mammen Thomas, V. Ramanujachari, R. Murugesan, A. Kumarasamy","(7, 6)"
"('July', '2017')",Design and Optimisation of Cooling System for Tracked Vehicle Powerpack,"Jayesh Namjoshi, Sachin Wagle, Murtuza Kundawala, Manoj Srivastava","(7, 7)"
"('July', '2017')",Computational study of Staggered and Double Cross Flow Heat Exchanger,"Annur Srinivasan Krishnan, Palanivelu Gowtham","(7, 8)"
"('July', '2017')",Present and Futuristic Trends in Weapon System,"Arun Kumar Roy, P.H. Lankennavar, V.S. Ghadge","(7, 9)"
"('July', '2017')",Trends in Sighting Systems for Combat Vehicles,"Zahir Ahmed Ansari, Avnish Kumar, Rajeev Marathe, Madhav Ji Nigam","(7, 10)"
"('July', '2017')",Future Armour Materials and Technologies for Combat Platforms,"B. Bhav Singh, G. Sukumar, P. Ponguru Senthil, P.K. Jena, P.R.S. Reddy, K. Siva Kumar, V. Madhu, G.M. Reddy","(7, 11)"
"('July', '2017')",Carbon Fiber Composites: A Solution for Light Weight Dynamic Components of AFVs,"Subodh Kumar Nirala, Sarath Shankar, Dhanalakshmi Sathishkumar, V. Kavivalluvan, P. Sivakumar","(7, 12)"
"('July', '2017')",Finite Element Analysis and Experimental Study on the Effect of Extrusion Ratio during Hot Extrusion Process of Aluminium Matrix Composites,"Dhanalakshmi Sathishkumar, P. Sivakumar, K. Shanmuga Sundaram, S. Anand","(7, 13)"
"('July', '2017')",Design Analysis of Brushless Direct Current Generator,"S. R. Shankapal, Parikshith Mallya, Jayashree Shivkumar, N. Venkateswaran","(7, 14)"
"('July', '2017')",Mathematical Modelling of Indian Regional Navigation Satellite System Receiver,"S. Naveen Pitchumani, S. Arun Sundar, T. Srinivasan, S. Savithri","(7, 15)"
"('July', '2017')",Simulation of an Armoured Vehicle for Blast Loading,"Sanjit Mahajan, R. Muralidharan","(7, 16)"
"('July', '2017')",Geometric Scaling of Plates Subjected to Mine Blast,"Dhiraj Prakash Badgujar, K. Srinivasan, P. Vasundhra, R. Murugesan, Lokavarapu Bhaskara Rao","(7, 17)"
"('July', '2017')",Planar Multi-body Dynamics of a Tracked Vehicle using Imaginary Wheel Model for Tracks,"Ilango Mahalingam, Chandramouli Padmanabhan","(7, 18)"
"('July', '2017')","Development of Mathematical Models, Simulating Vibration Control of Tracked Vehicle Weapon Dynamics","Ambarish Jakati, Saayan Banerjee, C. Jebaraj","(7, 19)"
"('July', '2017')",Tracked Vehicle Performance Evaluation using Multi Body Dynamics,"S. Balamurugan, R. Srinivasan","(7, 20)"
"('July', '2017')",The Roles and Dimensions of Science and Technology in India’s Foreign Policy,V. Siddhartha,"(7, 21)"
"('July', '2017')",Cyberspace Security : An Overview for Beginners,"Nitin Rai, Shailesh R Chansarkar","(7, 22)"
"('May', '2017')",Numerical Investigation of Rotating Lid-driven Cubical Cavity Flow,"Jitendra Kumar, N.R. Panchapakesan","(8, 0)"
"('May', '2017')",Micro-fibre based Porous Composite Propellants with High Regression Rates,"R.A. Chandru, S. Chappa, R.S. Bharath, C. Oommen, B.N. Raghunandan","(8, 1)"
"('May', '2017')",Tracking Control Design for Quadrotor Unmanned Aerial Vehicle,"Sudhir Nadda, A. Swarup","(8, 2)"
"('May', '2017')",An Approach to Reduce the Sample Consumption for LIBS based Identification of Explosive Materials,"S.K. Anubham, R. Junjuri, A.K. Myakalwar, M.K. Gundawar","(8, 3)"
"('May', '2017')",Effect of Ceramic Properties and Depth-of-penetration Test Parameters on the Ballistic Performance of Armour Ceramics ,"Fengdan Cui, Guoqing Wu, Tian Ma, Weiping Li","(8, 4)"
"('May', '2017')",Investigation on Semi-active Suspension System for Multi-axle Armoured Vehicle using Co-simulation,"Mukund W. Trikande, Vinit V. Jagirdar, Vasudevan Rajamohan, P.R. Sampat Rao","(8, 5)"
"('May', '2017')",Integrating Non-linear and Linear Diffusion Techniques to Prevent Fault Attacks in Advanced Encryption Standard to Enhance Security of 4G-LTE Networks,"Senthil kumar Mathi, Pavittra Kalyaan, Kanimozhi S., Bhuvaneshwari S.","(8, 6)"
"('May', '2017')",A Game Theoretic Approach to Modelling Jamming Attacks in Delay Tolerant Networks,"Monica Ravishankar, D. Vijay Rao, C.R.S. Kumar","(8, 7)"
"('May', '2017')",A Software Defined Radio based UHF Digital Ground Receiver System for Flying Object using LabVIEW,"Amiya Ranjan Panda, Debahuti Mishra, Hare Krishna Ratha","(8, 8)"
"('May', '2017')",Modified Alternative-signal Technique for Sequential Optimisation for PAPR Reduction in OFDM-OQAM Systems,"M.V.R. Vittal, K. Rama Naidu","(8, 9)"
"('May', '2017')",Image Inpainting and Enhancement using Fractional Order Variational Model,"G. Sridevi, Srinivas Kumar","(8, 10)"
"('May', '2017')","DTTA - Distributed, Time-division Multiple Access based Task Allocation Framework for Swarm Robots","Meetha V. Shenoy, K.R. Anupama","(8, 11)"
"('May', '2017')",An Adaptive Spectrum-Sensing Algorithm for Cognitive Radio Networks based on the Sample Covariance Matrix,"Chhagan Charan, Rajoo Pandey","(8, 12)"
"('May', '2017')",Predictive Missile Guidance with Online Trajectory Learning,"M. Ugur Akcal, N. Kemal Ure","(8, 13)"
"('March', '2017')",Infrared Technologies for Defence Systems,Ravinder Pal,"(9, 0)"
"('March', '2017')",Dynamic Inversion Control for Performing Herbst Manoeuver with Lateral Center-of-Gravity Offset,"Bijoy K. Mukherjee, Manoranjan Sinha","(9, 1)"
"('March', '2017')",Nonlinear Free Vibration Analysis of Laminated Carbon/Epoxy Curved Panels,"C.K. Hirwani, T.R. Mahapatra, S. K. Panda, S.S. Sahoo, V.K. Singh, B.K. Patle","(9, 2)"
"('March', '2017')",Numerical Characterisation of Supersonic Exhaust Diffusers,"M. Srinivasa Rao, Afroz Javed, Debasis Chakraborty","(9, 3)"
"('March', '2017')",FDTD Modelling of 1D Photonic Crystal comprised of Double Positive and Double Negative Metamaterial for Thermal Masking Application with CPML Absorbing Boundary Condition.,"Alok Sharan, M. Ashok Kumar, N. P. Anusha","(9, 4)"
"('March', '2017')",Long Wave Infrared Type II Superlattice Focal Plane Array Detector,"P.C. Klipstein, E. Avnon, Y. Benny, A. Fraenkel, A. Glozman, E. Hojman, E. Ilan, E. Kahanov, O. Klin, L. Krasovitski, L. Langof, I. Lukomsky, M. Nitzani, L. Shkedy, I. Shtrichman, N. Snapi, R. Talmor, A. Tuito, S. Vaserman, E. Weiss","(9, 5)"
"('March', '2017')",Numerical Study of Dual band (MW/LW) IR Detector for Performance Improvement,P.K. Saxena,"(9, 6)"
"('March', '2017')",Demonstration of Fabricated Midwave Infrared InAs/GaSb Type-II Superlattice-based Focal Plane Arrays,"K.C. Goma Kumari, H.M. Rawool, S. Chakrabarti","(9, 7)"
"('March', '2017')",Design and Development of Compact Hand Held Target Acquisition Device,"Eyneen Altaf, Ajay Kumar","(9, 8)"
"('March', '2017')",Infrared Avalanche Photodiode Detectors,"Anand Singh, Ravinder Pal","(9, 9)"
"('March', '2017')",Design of Triple Gate for Sub threshold Low Power applications,"Flavia Princess Nesamani, Geetanjali Raveendran, V.Lakshmi Prabha","(9, 10)"
"('March', '2017')",Effect of Ambient Temperature on Calibration of Cooled Thermal Camera,"Amit Kumar Sharma, Sanjay Kumar Sharma, Prashant Vasistha, Jagdish Prasad Mangalhara","(9, 11)"
"('March', '2017')",Estimation of Effect of Emissivity on Target Detection through Thermal Imaging Systems,"Amit Kumar Sharma, Sanjay Kumar Sharma, Prashant Vasistha, Jagdish Prasad Mangalhara","(9, 12)"
"('March', '2017')",Infrared Characterisation and Prediction of Aviation Turbine Fuel Plume,"Nagarajan R., Karuna Poonia, S. D. Bilonia, R. Singh","(9, 13)"
"('March', '2017')",High Temperature Calibration of Thermal Imagers for Infrared Measurements on Military Platforms,"Ravindra Singh, Nagarajan R., Karuna Poonia, Hari Mohan, Jagdish Prasad Mangalhara","(9, 14)"
"('March', '2017')",Parasitic Flux Analysis of Cooled Infrared Detectors for Space Applications,"Ankur Jain, Amiya Biswas","(9, 15)"
"('January', '2017')",Parameter Estimation from Near Stall Flight Data using Conventional and Neural-based Methods,"S. Saderla, R. Dhayalan, A.K. Ghosh","(10, 0)"
"('January', '2017')",Efficient Underground Object Detection for Ground Penetrating Radar Signals,"Ibrahim Mesecan, Ihsan Omur Bucak","(10, 1)"
"('January', '2017')",Investigation of Stick Propellant Internal Perforation Erosive Burning on Interior Ballistics Performances,"Xiaoliang Zhao, Xiaobing Zhang","(10, 2)"
"('January', '2017')",Transformation Mechanism of Dual-mode Penetrators  Achieved by Changing of Single-point Detonation,"Weibing Li, Huan Zhou, Wenbin Li, Xiaoming Wang, Jianjun Zhu","(10, 3)"
"('January', '2017')",Designing a Framework for Target-Site Assignment in Naval Combat Management,"Amirhossein Okhravi, Alireza Pooya, Shamsodin Nazemi, Mostafa Kazemi","(10, 4)"
